DATAFLOW,REF_AREA,FREQ,MEASURE,SEX,OC2,TIME_PERIOD,OBS_VALUE,OBS_STATUS,UNIT_MEASURE_TYPE,UNIT_MEASURE,UNIT_MULT,SOURCE,NOTE_SOURCE,NOTE_INDICATOR,NOTE_CLASSIF,DECIMALS,UPPER_BOUND,LOWER_BOUND
ILO:DF_EMP_TEMP_SEX_OC2_NB(1.0),IDN,A,EMP_TEMP_NB,SEX_T,OC2_ISCO08_75,2023,7827.72,,NB,PS,3,LFS - National Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing,,,1,,
ILO:DF_EMP_TEMP_SEX_OC2_NB(1.0),IDN,A,EMP_TEMP_NB,SEX_T,OC2_ISCO08_81,2023,3253.317,,NB,PS,3,LFS - National Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing,,,1,,
ILO:DF_EMP_TEMP_SEX_OC2_NB(1.0),IDN,A,EMP_TEMP_NB,SEX_T,OC2_ISCO08_82,2023,327.815,,NB,PS,3,LFS - National Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing,,,1,,
ILO:DF_EMP_TEMP_SEX_OC2_NB(1.0),IDN,A,EMP_TEMP_NB,SEX_T,OC2_ISCO08_83,2023,5734.924,,NB,PS,3,LFS - National Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing,,,1,,
ILO:DF_EMP_TEMP_SEX_OC2_NB(1.0),IDN,A,EMP_TEMP_NB,SEX_T,OC2_ISCO08_91,2023,3568.612,,NB,PS,3,LFS - National Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing,,,1,,
ILO:DF_EMP_TEMP_SEX_OC2_NB(1.0),IDN,A,EMP_TEMP_NB,SEX_T,OC2_ISCO08_92,2023,8800.45,,NB,PS,3,LFS - National Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing,,,1,,
ILO:DF_EMP_TEMP_SEX_OC2_NB(1.0),IDN,A,EMP_TEMP_NB,SEX_T,OC2_ISCO08_93,2023,9547.654,,NB,PS,3,LFS - National Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing,,,1,,
ILO:DF_EMP_TEMP_SEX_OC2_NB(1.0),IDN,A,EMP_TEMP_NB,SEX_T,OC2_ISCO08_94,2023,696.585,,NB,PS,3,LFS - National Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing,,,1,,
ILO:DF_EMP_TEMP_SEX_OC2_NB(1.0),IDN,A,EMP_TEMP_NB,SEX_T,OC2_ISCO08_95,2023,1038.487,,NB,PS,3,LFS - National Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing,,,1,,
ILO:DF_EMP_TEMP_SEX_OC2_NB(1.0),IDN,A,EMP_TEMP_NB,SEX_T,OC2_ISCO08_96,2023,3359.824,,NB,PS,3,LFS - National Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing,,,1,,
